gender,pretest,type,passproject,num_video,correct_exercies,posttest
0,6,0,0,2,1,7
1,2,0,0,2,8,12
0,5,0,0,2,14,17
1,8,0,0,2,21,23
0,5,0,0,9,1,8
1,4,0,0,6,8,16
0,9,0,0,7,14,19
1,0,0,0,8,21,25
0,5,0,0,14,0,9
1,1,0,0,13,7,14
0,3,0,0,16,15,18
1,6,0,0,15,22,25
0,2,0,0,22,2,11
1,6,0,0,19,6,18
0,3,0,0,17,15,23
1,2,0,0,24,23,29
0,3,0,1,2,1,15
1,5,0,1,2,8,19
0,2,0,1,2,14,28
1,11,0,1,2,21,35
0,1,0,1,9,1,19
1,8,0,1,6,8,26
0,1,0,1,7,14,29
1,0,0,1,8,21,35
0,3,0,1,14,0,23
1,4,0,1,13,7,33
0,2,0,1,16,15,27
1,5,0,1,15,22,36
0,1,0,1,22,2,19
1,3,0,1,19,6,27
0,3,0,1,17,15,33
1,3,0,1,24,23,39
0,3,1,0,2,1,12
1,1,1,0,2,8,16
0,5,1,0,2,14,25
1,8,1,0,2,21,29
0,5,1,0,9,1,23
1,4,1,0,6,8,35
0,5,1,0,7,14,23
1,0,1,0,8,21,28
0,2,1,0,14,0,15
1,1,1,0,13,7,19
0,3,1,0,16,15,22
1,3,1,0,15,22,29
0,2,1,0,22,2,18
1,6,1,0,19,6,23
0,3,1,0,17,15,27
1,2,1,0,24,23,38
0,3,1,1,2,1,22
1,2,1,1,2,8,23
0,2,1,1,2,14,29
1,2,1,1,2,21,39
0,1,2,1,9,1,25
1,8,2,1,6,8,35
0,1,2,1,7,14,33
1,0,2,1,8,21,45
0,4,2,1,14,0,29
1,3,2,1,13,7,39
0,2,2,1,16,15,37
1,5,2,1,15,22,39
0,1,2,1,22,2,25
1,2,2,1,19,6,37
0,3,2,1,17,15,38
1,1,2,1,24,23,45
0,25,0,0,2,1,27
0,26,0,0,2,8,28
0,25,0,0,2,14,38
0,28,0,0,2,21,58
0,25,0,0,9,1,28
0,24,0,0,6,8,46
0,29,0,0,7,14,39
0,20,0,0,8,21,45
0,22,0,0,14,0,39
0,21,0,0,13,7,34
0,23,0,0,16,15,38
1,26,0,0,15,22,45
0,32,0,0,22,2,31
0,32,0,0,19,6,48
1,33,0,0,17,15,53
0,32,0,0,24,23,59
0,33,0,1,2,1,45
0,35,0,1,2,8,49
1,32,0,1,2,14,48
0,33,0,1,2,21,65
0,41,0,1,9,1,78
0,48,0,1,6,8,68
1,41,0,1,7,14,72
1,40,0,1,8,21,71
1,43,0,1,14,0,61
0,43,0,1,13,7,78
0,52,0,1,16,15,78
0,55,0,1,15,22,83
1,51,0,1,22,2,72
0,53,0,1,19,6,81
0,53,0,1,17,15,88
1,53,0,1,24,23,91
0,64,1,0,2,1,76
0,61,1,0,2,8,64
1,65,1,0,2,14,82
0,64,1,0,2,21,91
0,65,1,0,9,1,87
0,64,1,0,6,8,99
1,65,1,0,7,14,81
1,70,1,0,8,21,97
1,72,1,0,14,0,82
0,71,1,0,13,7, 88
1,73,1,0,16,15,99
0,73,1,0,15,22,98
1,72,1,0,22,2,85
0,76,1,0,19,6,97
1,73,1,0,17,15,100
0,82,1,0,24,23,100
1,83,1,1,2,1,99
0,82,1,1,2,8,98
0,82,1,1,2,14,100
1,82,1,1,2,21,100
0,91,2,1,9,1,100
0,98,2,1,6,8,100
1,91,2,1,7,14,100
0,90,2,1,8,21,97
1,94,2,1,14,0,98
0,93,2,1,13,7,92
1,92,2,1,16,15,100
0,95,2,1,15,22,100
0,91,2,1,22,2,100
1,72,2,1,19,6,100
0,63,2,1,17,15,96
0,51,2,1,24,23,86
